study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA593052	SAMN13451146	SRX7254149	SRR10572657	10029	Cricetulus griseus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/057/SRR10572657/SRR10572657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/057/SRR10572657/SRR10572657_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR105/057/SRR10572657
PRJNA593052	SAMN13451145	SRX7254148	SRR10572658	10029	Cricetulus griseus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/058/SRR10572658/SRR10572658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/058/SRR10572658/SRR10572658_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR105/058/SRR10572658
PRJNA593052	SAMN13451144	SRX7254147	SRR10572659	10029	Cricetulus griseus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/059/SRR10572659/SRR10572659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/059/SRR10572659/SRR10572659_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR105/059/SRR10572659
PRJNA593052	SAMN13451143	SRX7254146	SRR10572660	10029	Cricetulus griseus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/060/SRR10572660/SRR10572660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/060/SRR10572660/SRR10572660_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR105/060/SRR10572660
PRJNA593052	SAMN13451142	SRX7254145	SRR10572661	10029	Cricetulus griseus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/061/SRR10572661/SRR10572661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/061/SRR10572661/SRR10572661_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR105/061/SRR10572661
PRJNA593052	SAMN13451141	SRX7254144	SRR10572662	10029	Cricetulus griseus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/062/SRR10572662/SRR10572662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/062/SRR10572662/SRR10572662_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR105/062/SRR10572662
PRJNA593052	SAMN13451140	SRX7254143	SRR10572663	10029	Cricetulus griseus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/063/SRR10572663/SRR10572663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/063/SRR10572663/SRR10572663_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR105/063/SRR10572663
PRJNA593052	SAMN13451139	SRX7254142	SRR10572664	10029	Cricetulus griseus	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/064/SRR10572664/SRR10572664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/064/SRR10572664/SRR10572664_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR105/064/SRR10572664
